Relationship,Text
actived-on,"<e1> Wizard Spider </e1> is a Russia-based financially motivated threat group originally known for the creation and deployment of TrickBot since at least  <e2> 2016 </e2>  Wizard Spider possesses a diverse aresenal of tools and has conducted ransomware campaigns against a variety of organizations, ranging from major corporations to hospitals."
uses,"Active since at least 2010,  <e1> Dragonfly </e1> has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through  <e2> supply chain </e2>  spearphishing, and drive-by compromise attacks."
targets,"By 2015, the  <e1> Operation Dust Storm threat actors </e1> shifted from government and defense-related intelligence targets to Japanese companies or  <e2> Japanese subdivisions of larger foreign organizations </e2> supporting Japan's critical infrastructure, including electricity generation, oil and natural gas, finance, transportation, and construction."
uses,"Since 2020,  <e1> FIN7 </e1> shifted operations to a  <e2> big game hunting (BGH) </e2> approach including use of REvil ransomware and their own Ransomware as a Service (RaaS), Darkside."
targets,"<e1> Metador </e1> has targeted a limited number of telecommunication companies, internet service providers, and  <e2> universities </e2> in the Middle East and Africa."
uses,"In April 2021, the US and UK governments attributed the SolarWinds Compromise to the SVR; public statements included citations to  <e1> APT29 </e1>  Cozy Bear, and The Dukes. Industry reporting also referred to the actors involved in this campaign as UNC2452,  <e2> NOBELIUM </e2>  StellarParticle, Dark Halo, and SolarStorm."
uses,<e1> Industroyer2 </e1> is a compiled and static piece of malware that has the ability to communicate over the  <e2> IEC-104 protocol </e2>  It is similar to the IEC-104 module found in Industroyer.
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation,  <e1> biomedical </e1>  defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US,  <e2> Canada </e2>  Europe, the Middle East, and Southeast Asia."
located-at,"Sowbug is a threat group that has conducted targeted attacks against organizations in South America and Southeast Asia, particularly  <e1> government </e1>  <e2> South America </e2> and Southeast Asia, particularly government entities, since at least 2015."
targets,"<e1> Strider </e1> is a threat group that has been active since at least 2011 and has targeted victims in Russia, China, Sweden, Belgium, Iran, and  <e2> Rwanda </e2>."
located-at,"Orangeworm is a group that has targeted organizations in the  <e1> healthcare </e1> sector in the United States, Europe, and  <e2> Asia </e2> since at least 2015, likely for the purpose of corporate espionage."
associated-with,"<e1> FIN7 </e1> may be linked to the  <e2> Carbanak </e2> Group, but there appears to be several groups using Carbanak malware and are therefore tracked separately."
belongs-to,<e1> Zebrocy </e1> is a  <e2> Trojan </e2> that has been used by APT28 since at least November 2015.
located-at,"WIRTE has targeted government, diplomatic,  <e1> financial </e1>  military, legal, and technology organizations in the Middle East and  <e2> Europe </e2>."
compromises,They have extensively used  <e1> strategic web compromises </e1>  <e2> Laos </e2>  and Cambodia.
variant-of,"<e1> Anubis </e1> is Android malware that was originally used for cyber espionage, and has been retooled as a  <e2> banking trojan </e2>."
hosts,<e1> Patchwork </e1> was also seen operating  <e2> spearphishing campaigns </e2> targeting U.
targets,<e1> Carbanak </e1> is a cybercriminal group that has used Carbanak malware to target  <e2> financial </e2> institutions since at least 2013.
hosts,"<e1> Magic Hound </e1> is an Iranian-sponsored threat group that conducts long term, resource-intensive  <e2> cyber espionage </e2> operations, likely on behalf of the Islamic Revolutionary Guard Corps."
uses,<e1> Equation </e1> is a sophisticated threat group that employs multiple remote access tools. The group is known to use  <e2> zero-day exploits </e2> and has developed the capability to overwrite the firmware of hard disk drives.
targets,"<e1> APT39 </e1> has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across  <e2> Asia </e2>  Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS."
associated-with,It is tracked separately from the  <e1> XLoader </e1> for  <e2> iOS </e2>.
belongs-to,Agent Tesla is a  <e1> spyware Trojan </e1>  <e2> Agent Tesla </e2> is a spyware Trojan written for the.
targets,"<e1> Molerats </e1> is an Arabic-speaking, politically-motivated threat group that has been operating since 2012. The group's victims have primarily been in the Middle East, Europe, and the  <e2> United States </e2>."
hosts,<e1> CopyKittens </e1> is an Iranian cyber espionage group that has been operating since at least 2013. The group is responsible for the campaign known as  <e2> Operation Wilted Tulip </e2>.
associated-with,"<e1> Winnti </e1> Group is a threat group with Chinese origins that has been active since at least 2010. Some reporting suggests a number of other groups, including  <e2> Axiom </e2>  APT17, and Ke3chang, are closely linked to Winnti Group."
associated-with,"<e1> Bumblebee </e1> has been linked to ransomware operations including Conti,  <e2> Quantum </e2>  and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent."
targets,"<e1> LAPSUS$ </e1> is cyber criminal threat group that has been active since at least mid-2021. The group has targeted organizations globally, including in the government, manufacturing, higher education, energy, healthcare, technology, telecommunications, and  <e2> media </e2> sectors."
actived-on,"<e1> TA505 </e1> is a cyber criminal group that has been active since at least  <e2> 2014 </e2>  TA505 is known for frequently changing malware, driving global trends in criminal malware distribution, and ransomware campaigns involving Clop."
targets,"<e1> Operation Dust Storm </e1> was a long-standing persistent cyber espionage campaign that targeted multiple industries in Japan, South Korea, the United States,  <e2> Europe </e2>  and several Southeast Asian countries."
targets,"<e1> XLoader </e1> for Android is a malicious Android app first observed targeting Japan, Korea, China, Taiwan, and Hong Kong in 2018. It has more recently been observed targeting  <e2> South Korean </e2> users as a pornography application."
uses,BLACKCOFFEE is malware that has been used by several  <e1> Chinese group </e1>  <e2> BLACKCOFFEE </e2> is malware that has been used by several Chinese groups since at least 2013.
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural  <e1> gas </e1> organizations, in the Middle East, Asia, Africa,  <e2> Europe </e2>  and North America."
located-at,"Aoqin Dragon has primarily targeted government, education, and  <e1> telecommunication </e1> organizations in Australia, Cambodia,  <e2> Hong Kong </e2>  Singapore, and Vietnam."
located-at,"Javali is a banking trojan that has targeted Portuguese and Spanish-speaking countries since 2017, primarily focusing on customers of  <e1> financial institutions </e1> in  <e2> Brazil </e2> and Mexico."
attributed-to,"In April 2021, the US and UK governments attributed the  <e1> SolarWinds Compromise </e1> to  <e2> Russia's Foreign Intelligence Service (SVR) </e2>  public statements included citations to APT29, Cozy Bear, and The Dukes."
compromises,<e1> YiSpecter </e1> abuses private APIs in iOS to infect both  <e2> jailbroken </e2> and non-jailbroken devices.
belongs-to,"<e2> Andariel </e2> s notable activity includes <e1>  Operation Black Mine </e1>  Operation GoldenAxe, and Campaign Rifle."
targets,"<e1> Axiom </e1> is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and  <e2> media </e2> sectors since at least 2008."
hosts,"<e1> Operation CuckooBees </e1> was a  <e2> cyber espionage </e2> campaign targeting technology and manufacturing companies in East Asia, Western Europe, and North America since at least 2019."
